id	family	universe	score	sharpe_net	max_dd	turnover	n_params	status	description
s524	regime-detection	spy-tlt	0.8727	0.8727	-2.9	1.7	2	keep	MRDv2 champion: 5-signal composite, benign>=2/stressed<-1, gap=2d rebalance, SR=0.873, DD=-2.9%
s525	regime-detection	spy-tlt	0.7427	0.7427	-4.6	2.1	1	keep	MRDv3 continuous sizing: spy_w=(composite+5)/10, daily rebalance, SR=0.743, DD=-4.6%
s526	regime-detection	spy-tlt	0.6785	0.6785	-3.9	1.7	3	keep	MRDv4: champion s524 + 200d MA trend filter. MA filter REDUCES Sharpe (0.873->0.678). Regime signals already capture trend.
s527	regime-detection	spy-tlt	0.8727	0.8727	-2.9	1.7	3	keep	MRDv5: 5-signal composite with 252d rolling accuracy weighting, gap=2d rebalance. SR=0.873, identical to s524 (all signals ~0.50 accuracy)
s528	regime-sector-rot	spy-tlt-sectors	0.8623	0.8623	-5.3	3.5	2	keep	Regime-Based Sector Rotation (fixed): XLE excluded, gap=2d rebalance. Benign->XLK+XLF, Stressed->XLU, Neutral->top2 of 3. SR=0.862, DD=-5.3%, 183 trades.
s529	regime-detection-stress	spy-tlt	0.6697	0.6697	-4.7	1.1	3	keep	MRD-V2 Stress Score: rolling z-scores + sigmoid + persistence + trend filter. Beat HMM (0.000, 80 trades). Winning arch. V2 doesn't beat V1 (s524=0.873).
s530	regime-detection-stress	spy-tlt	0.6856	0.6856	-4.5	1.2	1	keep	Persistence sweep on s529 Stress Score: persistence=1-10d. Best p=1d (SR=0.686), worst p=10d (0.656). Signal is smooth enough without extra smoothing.
s531	inflation-regime	spy-tlt	0.4499	0.4499	-4.5	2.4	0	keep	INFLREGv5: 5-signal (4 binary 20d + daily BE), discrete 3-tier SPY/TLT/neutral, gap=2d
s532	risk-appetite-regime	spy-tlt	0.9614	0.9614	-3.6	1.4	0	keep	RISKREG: 4-signal (credit, VIX, SPY/TLT corr, gold) dynamic, 3-tier RO/Neutral/Roff, gap=2d. NEW CHAMPION beats s524(0.873) by 10%
s533	yield-curve-regime	spy-tlt	0.6269	0.6269	-3.1	2.9	0	keep	YCREGv3: 3-signal (10d slope/level/rate) + daily Δcurve, discrete 3-tier, DD=-3.1% (cleanest)
s534	macro-quadrant-regime	spy-tlt-gld	0.8913	0.8913	-5.1	1.6	0	keep	MACRO4: 2x2 growth/inflation quadrant (Goldilocks/Overheat/Recession/Stagflation), SPY+TLT+GLD, gap=2d
s535	dollar-regime	spy-tlt-gld-eem	0.6965	0.6965	-8.7	3.6	0	keep	USDCYCLE: USD cycle 4-signal(20d)+daily, 4-tier alloc SPY+TLT+GLD+EEM, DD=-8.7%
s536	correlation-regime	spy-tlt-gld	0.3206	0.3206	-3.8	6.6	0	keep	CORREG: PCA on 8-asset 60d rolling corr, 4 quadrants SPY+TLT+GLD, gross SR=0.692%
s537	vol-ensemble	spy-tlt	0.4435	0.4435	-5.8	1.6	0	keep	VOLREG: 5 vol signals (VIX TS/RV/bond vol/disp/vov), disc 3-tier, DD=-5.8%
s538	unified-ensemble	spy-tlt-gld	0.7225	0.7225	-5.9	2.1	0	keep	UNIFIED: meta-ensemble 6 themes (risk/growth/infl/YC/dollar/vol)+daily delta, 3-tier SPY+TLT+GLD
s539	tail-risk-regime	spy-tlt-gld	0.7042	0.7042	-4.0	3.3	0	keep	TAILREG: SKEW/VIX TS/credit tail risk signals, 3-tier SPY+TLT+GLD, gross SR=0.900
s540	factor-rotation	mtum-qual-usmv-vlue	0.6838	0.6838	-7.5	4.2	0	keep	FACTOR: 3 macro signals (vol/growth/yield)+daily delta, MTUM/QUAL/USMV/VLUE top2, DD=-7.5%
s541	multi-asset-momentum	8-etf-global	0.2831	0.2831	-11.7	4.6	2	keep	XS-MOM: 252d lookback, top/bottom 3 of 8 multi-asset ETFs (best of 6 sweep)
s543	trend-following	8-etf-global	0.3249	0.3249	-14.9	3.9	1	keep	TREND: mom252, 8 multi-asset ETFs, equal-weight, weekly rebalance (best of 3 sweep)
s541	qqq-regime	qqq-tlt	0.8756	0.8756	-4.7	1.9	0	keep	QQQREG: champion risk appetite recipe (credit+VIX+corr+gold) applied to QQQ+TLT. Proves regime signal is market-wide, not SPY-specific.
s542	qqq-spy-dispersion	qqq-spy	1.1819	1.1819	-4.4	1.5	0	keep	DISPERSION: QQQ/SPY ratio z-score (252d) mean reversion. Buy QQQ cheap vs SPY, sell overextended. NEW CHAMPION beats s532(0.961) by 23%.
s543	tech-vol-stress	qqq-tlt	0.817	0.817	-5.5	3.3	0	keep	VXNDIVERGE: VXN/VIX ratio divergence + VIX level + QQQ/TLT corr. Tech-specific vol signal independent of SPY.
s544	crowd-reversal	spy-tlt	0.0562	0.0562	-6.5	4.6	0	discard	CROWD: aggregated 5d reversal z-score across 200 stocks. Signal too noisy (avg z-score near zero).
s575	alt-mom	alt-asset-mgr	1.0646	1.0646	-14.0	1.2	1	keep	ALTTREND: TS momentum lb=126, eq-wt, gap=4d, 7 alt asset mgrs (BAM/KKR/APO/BX/ARES/CG/TPG). Second-highest SR ever.
s578	alt-mom	alt-asset-mgr	1.0573	1.0573	-13.5	1.0	1	keep	ALT-MOM: TS momentum lb=252, eq-wt, gap=4d, 7 alt asset mgrs.
s581	alt-mom-gap	alt-asset-mgr	1.0341	1.0341	-14.7	0.7	1	keep	ALT-GAP: TS mom lb=42, eq-wt, gap=7d, 7 alt asset mgrs.
s572	alt-mom	alt-asset-mgr	0.9937	0.9937	-13.9	1.6	1	keep	ALT-MOM: TS momentum lb=42, eq-wt, gap=4d, 7 alt asset mgrs.
s566	hc-mom-sub	all-asset-mgr	0.9492	0.9492	-14.5	2.7	1	keep	HC-SUB-AM: TS mom lb=42, eq-wt, 12 asset mgrs (alt+trad).
s545	hc-mom	holding-co	0.9086	0.9086	-19.3	4.2	1	keep	HCTREND: TS momentum lb=42, long-only, eq-wt, 22 holding companies. First discovery.
s562	hc-mom-weight	holding-co	0.9147	0.9147	-17.5	3.8	1	keep	HC-WEIGHT: TS mom lb=42, momentum-weighted, 22 holding cos.
s546	pead-xs	sp-100	0.9882	0.9882	-8.5	12.4	2	keep	EARNPEAD: Cross-sectional PEAD S&P100, top5/bottom5 by earnings surprise, 21d hold, eq-wt. Beat s532(0.961) by 3%, #3 overall.
s546	pead-xs	sp-100	0.8802	0.8802	-9.0	13.3	2	keep	EARNPEAD: Cross-sectional PEAD S&P100, top10/bottom10 by earnings surprise, 21d hold, eq-wt.
s546	pead-xs	sp-100	0.4494	0.4494	-9.3	14.7	2	keep	EARNPEAD: Cross-sectional PEAD S&P100, top10/bottom10 by earnings surprise, 10d hold, eq-wt.
s547	thematic-momentum	sp100	0.217	0.217	-22.6	12.8	3	keep	NEXTWAVE: thematic institutional rotation on S&P 100, n=5, lb=189d, theme_w=0.3, gap=10d. Theme signal adds +33% to pure momentum (baseline SR=0.163→0.217).
